id,categoria,informe,estado,mes,temporalidad,ApelaciónDeAutoEnAmparo,ApelaciónDeAutoPorSuspensión,OcursoDeQueja,PlanteamientoDeErrorSubstancialEnElProcedimiento,OcursoDeHecho,AclaraciónY/OAmpliación,AclaraciónY/OAmpliaciónDeOficio,ApmfYPrevios,Desistimiento,EjecuciónDeSentencia,LiquidaciónCostas,RechazoDeSolicitudes,Varios,total,enlaceInforme,enlaceCSV
cc-3-0,3,Plantilla Informe,ignore,Abril,plantilla,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
cc-3-1,3,Primer Informe,pasado,Mayo,15 de abril al 14 de mayo de 2018 ,96,41,32,5,0,46,8,15,8,0,3,14,13,281,https://github.com/RedCiudadana/Recursos-Rendicion-Cuentas-CC/raw/master/Informes/PDF/Informe%20Rendicion%20Cuenta%20-%20Corte%20de%20Constitucionalidad%201.pdf,https://docs.google.com/spreadsheets/d/e/2PACX-1vSGTHYywTh1cl9Lu6XbwIz5wOtWn3wVD6N5Yl25FGg4M3gtA--2Nzxi96QBlpWa5nVr6SBB2-44ELeg/pub?output=xlsx
cc-3-2,3,Segundo Informe,pasado,Junio,15 de mayo al 14 de junio de 2018 ,118,50,30,7,0,68,6,19,7,1,2,17,9,334,https://github.com/RedCiudadana/Recursos-Rendicion-Cuentas-CC/raw/master/Informes/PDF/Informe%20Rendicion%20Cuenta%20-%20Corte%20de%20Constitucionalidad%202.pdf,https://docs.google.com/spreadsheets/d/e/2PACX-1vSGTHYywTh1cl9Lu6XbwIz5wOtWn3wVD6N5Yl25FGg4M3gtA--2Nzxi96QBlpWa5nVr6SBB2-44ELeg/pub?output=xlsx
cc-3-3,3,Tercer Informe,pasado,Julio,15 de junio al 14 de julio de 2018 ,116,61,36,9,0,0,10,12,5,2,3,18,5,277,https://github.com/RedCiudadana/Recursos-Rendicion-Cuentas-CC/raw/master/Informes/PDF/Informe%20Rendicion%20Cuenta%20-%20Corte%20de%20Constitucionalidad%203.pdf,https://docs.google.com/spreadsheets/d/e/2PACX-1vSGTHYywTh1cl9Lu6XbwIz5wOtWn3wVD6N5Yl25FGg4M3gtA--2Nzxi96QBlpWa5nVr6SBB2-44ELeg/pub?output=xlsx
cc-3-4,3,Cuarto Informe,pasado,Agosto,15 de julio al 14 de agosto de 2018 ,144,81,52,9,0,77,16,15,4,2,5,21,30,456,https://github.com/RedCiudadana/Recursos-Rendicion-Cuentas-CC/raw/master/Informes/PDF/Informe%20Rendicion%20Cuenta%20-%20Corte%20de%20Constitucionalidad%204.pdf,https://docs.google.com/spreadsheets/d/e/2PACX-1vSGTHYywTh1cl9Lu6XbwIz5wOtWn3wVD6N5Yl25FGg4M3gtA--2Nzxi96QBlpWa5nVr6SBB2-44ELeg/pub?output=xlsx
cc-3-5,3,Quinto Informe,pasado,Septiembre,15 de agosto al 14 de septiembre de 2018,55,35,28,5,0,38,8,15,4,0,2,18,39,247,https://github.com/RedCiudadana/Recursos-Rendicion-Cuentas-CC/raw/master/Informes/PDF/Informe%20Rendicion%20Cuenta%20-%20Corte%20de%20Constitucionalidad%205.pdf,https://docs.google.com/spreadsheets/d/e/2PACX-1vSGTHYywTh1cl9Lu6XbwIz5wOtWn3wVD6N5Yl25FGg4M3gtA--2Nzxi96QBlpWa5nVr6SBB2-44ELeg/pub?output=xlsx
cc-3-6,3,Sexto Informe,anterior,Octubre,15 de septiembre al 14 de octubre de 2018,99,68,25,12,0,47,18,15,8,5,0,43,28,368,https://github.com/RedCiudadana/Recursos-Rendicion-Cuentas-CC/raw/master/Informes/PDF/Informe%20Rendicion%20Cuenta%20-%20Corte%20de%20Constitucionalidad%206.pdf,https://docs.google.com/spreadsheets/d/e/2PACX-1vSGTHYywTh1cl9Lu6XbwIz5wOtWn3wVD6N5Yl25FGg4M3gtA--2Nzxi96QBlpWa5nVr6SBB2-44ELeg/pub?output=xlsx
cc-3-7,3,Séptimo Informe,actual,Noviembre,15 de octubre al 14 de noviembre de 2018,105,59,24,8,0,31,7,21,3,4,3,23,18,306,https://drive.google.com/a/redciudadana.org.gt/uc?authuser=0&id=1DHWv6xjKGrSts6WuLq8MDVUvm3-w4F08&export=download,https://docs.google.com/spreadsheets/d/e/2PACX-1vSGTHYywTh1cl9Lu6XbwIz5wOtWn3wVD6N5Yl25FGg4M3gtA--2Nzxi96QBlpWa5nVr6SBB2-44ELeg/pub?output=xlsx
cc-3-8,3,Octavo Informe,,Diciembre,15 de noviembre al 14 de diciembre de 2018,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
cc-3-9,3,Noveno Informe,,Enero,15 de diciembre al 14 de enero de 2019,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
cc-3-10,3,Decimo Informe,,Febrero,15 de febrero al 14 de marzo de 2019,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
cc-3-11,3,Onceavo Informe,,Marzo,15 de marzo al 14 de abril de 2019,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
cc-3-12,3,Decimo Segundo Informe,,Abril,15 de abril al 14 de mayo de 2019,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
acumulado-2,,acumulado,acumulado,acumulado,acumulado,733,395,227,55,0,307,73,112,39,14,18,154,142,2269,,
