id,categoria,informe,estado,mes,temporalidad,ApelacionDeSentenciaEnAmparo,InconstitucionalidadEnCasoConcreto,AmparoEn_ÚnicaInstancia,InconstitucionalidadGeneral,total,enlaceInforme,enlaceCSV
cc-4-0,4,Plantilla Informe,ignore,Abril,plantilla,0,0,0,0,0,,
cc-4-1,4,Primer Informe,pasado,Mayo,15 de abril al 14 de mayo de 2018 ,132,7,81,10,230,https://github.com/RedCiudadana/Recursos-Rendicion-Cuentas-CC/raw/master/Informes/PDF/Informe%20Rendicion%20Cuenta%20-%20Corte%20de%20Constitucionalidad%201.pdf,https://docs.google.com/spreadsheets/d/e/2PACX-1vSGTHYywTh1cl9Lu6XbwIz5wOtWn3wVD6N5Yl25FGg4M3gtA--2Nzxi96QBlpWa5nVr6SBB2-44ELeg/pub?output=xlsx
cc-4-2,4,Segundo Informe,pasado,Junio,15 de mayo al 14 de junio de 2018 ,254,3,110,9,376,https://github.com/RedCiudadana/Recursos-Rendicion-Cuentas-CC/raw/master/Informes/PDF/Informe%20Rendicion%20Cuenta%20-%20Corte%20de%20Constitucionalidad%202.pdf,https://docs.google.com/spreadsheets/d/e/2PACX-1vSGTHYywTh1cl9Lu6XbwIz5wOtWn3wVD6N5Yl25FGg4M3gtA--2Nzxi96QBlpWa5nVr6SBB2-44ELeg/pub?output=xlsx
cc-4-3,4,Tercer Informe,pasado,Julio,15 de junio al 14 de julio de 2018 ,238,7,92,11,348,https://github.com/RedCiudadana/Recursos-Rendicion-Cuentas-CC/raw/master/Informes/PDF/Informe%20Rendicion%20Cuenta%20-%20Corte%20de%20Constitucionalidad%203.pdf,https://docs.google.com/spreadsheets/d/e/2PACX-1vSGTHYywTh1cl9Lu6XbwIz5wOtWn3wVD6N5Yl25FGg4M3gtA--2Nzxi96QBlpWa5nVr6SBB2-44ELeg/pub?output=xlsx
cc-4-4,4,Cuarto Informe,pasado,Agosto,15 de julio al 14 de agosto de 2018 ,141,8,38,2,189,https://github.com/RedCiudadana/Recursos-Rendicion-Cuentas-CC/raw/master/Informes/PDF/Informe%20Rendicion%20Cuenta%20-%20Corte%20de%20Constitucionalidad%204.pdf,https://docs.google.com/spreadsheets/d/e/2PACX-1vSGTHYywTh1cl9Lu6XbwIz5wOtWn3wVD6N5Yl25FGg4M3gtA--2Nzxi96QBlpWa5nVr6SBB2-44ELeg/pub?output=xlsx
cc-4-5,4,Quinto Informe,pasado,Septiembre,15 de agosto al 14 de septiembre de 2018,62,1,14,1,78,https://github.com/RedCiudadana/Recursos-Rendicion-Cuentas-CC/raw/master/Informes/PDF/Informe%20Rendicion%20Cuenta%20-%20Corte%20de%20Constitucionalidad%205.pdf,https://docs.google.com/spreadsheets/d/e/2PACX-1vSGTHYywTh1cl9Lu6XbwIz5wOtWn3wVD6N5Yl25FGg4M3gtA--2Nzxi96QBlpWa5nVr6SBB2-44ELeg/pub?output=xlsx
cc-4-6,4,Sexto Informe,anterior,Octubre,15 de septiembre al 14 de octubre de 2018,133,3,43,4,183,https://github.com/RedCiudadana/Recursos-Rendicion-Cuentas-CC/raw/master/Informes/PDF/Informe%20Rendicion%20Cuenta%20-%20Corte%20de%20Constitucionalidad%206.pdf,https://docs.google.com/spreadsheets/d/e/2PACX-1vSGTHYywTh1cl9Lu6XbwIz5wOtWn3wVD6N5Yl25FGg4M3gtA--2Nzxi96QBlpWa5nVr6SBB2-44ELeg/pub?output=xlsx
cc-4-7,4,Séptimo Informe,actual,Noviembre,15 de octubre al 14 de noviembre de 2018,201,5,101,1,308,https://drive.google.com/a/redciudadana.org.gt/uc?authuser=0&id=1DHWv6xjKGrSts6WuLq8MDVUvm3-w4F08&export=download,https://docs.google.com/spreadsheets/d/e/2PACX-1vSGTHYywTh1cl9Lu6XbwIz5wOtWn3wVD6N5Yl25FGg4M3gtA--2Nzxi96QBlpWa5nVr6SBB2-44ELeg/pub?output=xlsx
cc-4-8,4,Octavo Informe,,Diciembre,15 de noviembre al 14 de diciembre de 2018,0,0,0,0,0,,
cc-4-9,4,Noveno Informe,,Enero,15 de diciembre al 14 de enero de 2019,0,0,0,0,0,,
cc-4-10,4,Decimo Informe,,Febrero,15 de febrero al 14 de marzo de 2019,0,0,0,0,0,,
cc-4-11,4,Onceavo Informe,,Marzo,15 de marzo al 14 de abril de 2019,0,0,0,0,0,,
cc-4-12,4,Decimo Segundo Informe,,Abril,15 de abril al 14 de mayo de 2019,0,0,0,0,0,,
acumulado-2,,acumulado,acumulado,acumulado,acumulado,1161,34,479,38,1712,,
