id,categoria,informe,estado,mes,temporalidad,ApelacionDeSentenciaEnAmparo,InconstitucionalidadEnCasoConcreto,AmparoEn_ÚnicaInstancia,InconstitucionalidadGeneral,SentenciasDeSaludY Vida,total,enlaceInforme,enlaceCSV
cc-5-0,5,Plantilla Informe,ignore,Abril,plantilla,0,0,0,0,0,0,,
cc-5-1,5,Primer Informe,pasado,Mayo,15 de abril al 14 de mayo de 2018 ,17,2,16,0,0,35,https://github.com/RedCiudadana/Recursos-Rendicion-Cuentas-CC/raw/master/Informes/PDF/Informe%20Rendicion%20Cuenta%20-%20Corte%20de%20Constitucionalidad%201.pdf,https://docs.google.com/spreadsheets/d/e/2PACX-1vSGTHYywTh1cl9Lu6XbwIz5wOtWn3wVD6N5Yl25FGg4M3gtA--2Nzxi96QBlpWa5nVr6SBB2-44ELeg/pub?output=xlsx
cc-5-2,5,Segundo Informe,pasado,Junio,15 de mayo al 14 de junio de 2018 ,19,2,6,0,0,27,https://github.com/RedCiudadana/Recursos-Rendicion-Cuentas-CC/raw/master/Informes/PDF/Informe%20Rendicion%20Cuenta%20-%20Corte%20de%20Constitucionalidad%202.pdf,https://docs.google.com/spreadsheets/d/e/2PACX-1vSGTHYywTh1cl9Lu6XbwIz5wOtWn3wVD6N5Yl25FGg4M3gtA--2Nzxi96QBlpWa5nVr6SBB2-44ELeg/pub?output=xlsx
cc-5-3,5,Tercer Informe,pasado,Julio,15 de junio al 14 de julio de 2018 ,9,3,10,0,0,22,https://github.com/RedCiudadana/Recursos-Rendicion-Cuentas-CC/raw/master/Informes/PDF/Informe%20Rendicion%20Cuenta%20-%20Corte%20de%20Constitucionalidad%203.pdf,https://docs.google.com/spreadsheets/d/e/2PACX-1vSGTHYywTh1cl9Lu6XbwIz5wOtWn3wVD6N5Yl25FGg4M3gtA--2Nzxi96QBlpWa5nVr6SBB2-44ELeg/pub?output=xlsx
cc-5-4,5,Cuarto Informe,pasado,Agosto,15 de julio al 14 de agosto de 2018 ,16,4,13,0,4,37,https://github.com/RedCiudadana/Recursos-Rendicion-Cuentas-CC/raw/master/Informes/PDF/Informe%20Rendicion%20Cuenta%20-%20Corte%20de%20Constitucionalidad%204.pdf,https://docs.google.com/spreadsheets/d/e/2PACX-1vSGTHYywTh1cl9Lu6XbwIz5wOtWn3wVD6N5Yl25FGg4M3gtA--2Nzxi96QBlpWa5nVr6SBB2-44ELeg/pub?output=xlsx
cc-5-5,5,Quinto Informe,pasado,Septiembre,15 de agosto al 14 de septiembre de 2018,11,5,8,0,7,31,https://github.com/RedCiudadana/Recursos-Rendicion-Cuentas-CC/raw/master/Informes/PDF/Informe%20Rendicion%20Cuenta%20-%20Corte%20de%20Constitucionalidad%205.pdf,https://docs.google.com/spreadsheets/d/e/2PACX-1vSGTHYywTh1cl9Lu6XbwIz5wOtWn3wVD6N5Yl25FGg4M3gtA--2Nzxi96QBlpWa5nVr6SBB2-44ELeg/pub?output=xlsx
cc-5-6,5,Sexto Informe,anterior,Octubre,15 de septiembre al 14 de octubre de 2018,15,4,16,0,6,41,https://github.com/RedCiudadana/Recursos-Rendicion-Cuentas-CC/raw/master/Informes/PDF/Informe%20Rendicion%20Cuenta%20-%20Corte%20de%20Constitucionalidad%206.pdf,https://docs.google.com/spreadsheets/d/e/2PACX-1vSGTHYywTh1cl9Lu6XbwIz5wOtWn3wVD6N5Yl25FGg4M3gtA--2Nzxi96QBlpWa5nVr6SBB2-44ELeg/pub?output=xlsx
cc-5-7,5,Séptimo Informe,actual,Noviembre,15 de octubre al 14 de noviembre de 2018,15,4,9,1,6,35,https://drive.google.com/a/redciudadana.org.gt/uc?authuser=0&id=1DHWv6xjKGrSts6WuLq8MDVUvm3-w4F08&export=download,https://docs.google.com/spreadsheets/d/e/2PACX-1vSGTHYywTh1cl9Lu6XbwIz5wOtWn3wVD6N5Yl25FGg4M3gtA--2Nzxi96QBlpWa5nVr6SBB2-44ELeg/pub?output=xlsx
cc-5-8,5,Octavo Informe,,Diciembre,15 de noviembre al 14 de diciembre de 2018,0,0,0,0,1,1,,
cc-5-9,5,Noveno Informe,,Enero,15 de diciembre al 14 de enero de 2019,0,0,0,0,1,1,,
cc-5-10,5,Decimo Informe,,Febrero,15 de febrero al 14 de marzo de 2019,0,0,0,0,1,1,,
cc-5-11,5,Onceavo Informe,,Marzo,15 de marzo al 14 de abril de 2019,0,0,0,0,1,1,,
cc-5-12,5,Decimo Segundo Informe,,Abril,15 de abril al 14 de mayo de 2019,0,0,0,0,1,1,,
acumulado-2,,acumulado,acumulado,acumulado,acumulado,102,24,78,1,,233,,
