id,categoria,informe,estado,mes,temporalidad,AdultoMayor,PueblosIndígenas,PersonasConDiscapacidad,Mujeres,"Niñas, niños y adolescentes",total,enlaceInforme,enlaceCSV
cc-6-0,6,Plantilla Informe,ignore,Abril,plantilla,0,0,0,0,,0,,
cc-6-1,6,Primer Informe,pasado,Mayo,15 de abril al 14 de mayo de 2018 ,0,,,,,0,https://github.com/RedCiudadana/Recursos-Rendicion-Cuentas-CC/raw/master/Informes/PDF/Informe%20Rendicion%20Cuenta%20-%20Corte%20de%20Constitucionalidad%201.pdf,https://docs.google.com/spreadsheets/d/e/2PACX-1vSGTHYywTh1cl9Lu6XbwIz5wOtWn3wVD6N5Yl25FGg4M3gtA--2Nzxi96QBlpWa5nVr6SBB2-44ELeg/pub?output=xlsx
cc-6-2,6,Segundo Informe,pasado,Junio,15 de mayo al 14 de junio de 2018 ,0,,,,,0,https://github.com/RedCiudadana/Recursos-Rendicion-Cuentas-CC/raw/master/Informes/PDF/Informe%20Rendicion%20Cuenta%20-%20Corte%20de%20Constitucionalidad%202.pdf,https://docs.google.com/spreadsheets/d/e/2PACX-1vSGTHYywTh1cl9Lu6XbwIz5wOtWn3wVD6N5Yl25FGg4M3gtA--2Nzxi96QBlpWa5nVr6SBB2-44ELeg/pub?output=xlsx
cc-6-3,6,Tercer Informe,pasado,Julio,15 de junio al 14 de julio de 2018 ,0,0,7,0,13,20,https://github.com/RedCiudadana/Recursos-Rendicion-Cuentas-CC/raw/master/Informes/PDF/Informe%20Rendicion%20Cuenta%20-%20Corte%20de%20Constitucionalidad%203.pdf,https://docs.google.com/spreadsheets/d/e/2PACX-1vSGTHYywTh1cl9Lu6XbwIz5wOtWn3wVD6N5Yl25FGg4M3gtA--2Nzxi96QBlpWa5nVr6SBB2-44ELeg/pub?output=xlsx
cc-6-4,6,Cuarto Informe,pasado,Agosto,15 de julio al 14 de agosto de 2018 ,2,0,0,0,7,9,https://github.com/RedCiudadana/Recursos-Rendicion-Cuentas-CC/raw/master/Informes/PDF/Informe%20Rendicion%20Cuenta%20-%20Corte%20de%20Constitucionalidad%204.pdf,https://docs.google.com/spreadsheets/d/e/2PACX-1vSGTHYywTh1cl9Lu6XbwIz5wOtWn3wVD6N5Yl25FGg4M3gtA--2Nzxi96QBlpWa5nVr6SBB2-44ELeg/pub?output=xlsx
cc-6-5,6,Quinto Informe,anterior,Septiembre,15 de agosto al 14 de septiembre de 2018,0,0,0,4,1,5,https://github.com/RedCiudadana/Recursos-Rendicion-Cuentas-CC/raw/master/Informes/PDF/Informe%20Rendicion%20Cuenta%20-%20Corte%20de%20Constitucionalidad%205.pdf,https://docs.google.com/spreadsheets/d/e/2PACX-1vSGTHYywTh1cl9Lu6XbwIz5wOtWn3wVD6N5Yl25FGg4M3gtA--2Nzxi96QBlpWa5nVr6SBB2-44ELeg/pub?output=xlsx
cc-6-6,6,Sexto Informe,actual,Octubre,15 de septiembre al 14 de octubre de 2018,0,1,1,3,2,7,https://github.com/RedCiudadana/Recursos-Rendicion-Cuentas-CC/raw/master/Informes/PDF/Informe%20Rendicion%20Cuenta%20-%20Corte%20de%20Constitucionalidad%206.pdf,https://docs.google.com/spreadsheets/d/e/2PACX-1vSGTHYywTh1cl9Lu6XbwIz5wOtWn3wVD6N5Yl25FGg4M3gtA--2Nzxi96QBlpWa5nVr6SBB2-44ELeg/pub?output=xlsx
cc-6-7,6,Séptimo Informe,,Noviembre,15 de octubre al 14 de noviembre de 2018,0,0,0,0,,0,https://drive.google.com/a/redciudadana.org.gt/uc?authuser=0&id=1DHWv6xjKGrSts6WuLq8MDVUvm3-w4F08&export=download,https://docs.google.com/spreadsheets/d/e/2PACX-1vSGTHYywTh1cl9Lu6XbwIz5wOtWn3wVD6N5Yl25FGg4M3gtA--2Nzxi96QBlpWa5nVr6SBB2-44ELeg/pub?output=xlsx
cc-6-8,6,Octavo Informe,,Diciembre,15 de noviembre al 14 de diciembre de 2018,0,0,0,0,,0,,
cc-6-9,6,Noveno Informe,,Enero,15 de diciembre al 14 de enero de 2019,0,0,0,0,,0,,
cc-6-10,6,Decimo Informe,,Febrero,15 de febrero al 14 de marzo de 2019,0,0,0,0,,0,,
cc-6-11,6,Onceavo Informe,,Marzo,15 de marzo al 14 de abril de 2019,0,0,0,0,,0,,
cc-6-12,6,Decimo Segundo Informe,,Abril,15 de abril al 14 de mayo de 2019,0,0,0,0,,0,,
acumulado-2,,acumulado,acumulado,acumulado,acumulado,2,1,8,7,,41,,
