id,categoria,informe,estado,mes,temporalidad,Amparo,AmparoVerbal,OcursoDeHecho,OcursoDeQueja,DudaDeCompetencia,SolicitudDeEnmienda,AmparoEn_ÚnicaInstancia,ApelaciónDeAutoEnAmparo,ApelaciónDeAutoPorSuspension,ApelaciónDeSentenciaEnAmparo,ApelacionDeAutoDeLiquidaciónDeCostas,InconstitucionalidadDeLeyDeCarácterGeneral,PlanteamientoDeErrorSubstancialEnElProcedimiento,ApelaciónDeInconstitucionalidadDeLeyEnCasoConcreto,total,enlaceInforme,enlaceCSV
cc-8-0,8,Plantilla Informe,ignore,Abril,plantilla,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
cc-8-1,8,Primer Informe,pasado,Mayo,15 de abril al 14 de mayo de 2018 ,2,14,0,35,1,2,1,73,89,52,140,2,3,7,421,https://github.com/RedCiudadana/Recursos-Rendicion-Cuentas-CC/raw/master/Informes/PDF/Informe%20Rendicion%20Cuenta%20-%20Corte%20de%20Constitucionalidad%201.pdf,https://docs.google.com/spreadsheets/d/e/2PACX-1vSGTHYywTh1cl9Lu6XbwIz5wOtWn3wVD6N5Yl25FGg4M3gtA--2Nzxi96QBlpWa5nVr6SBB2-44ELeg/pub?output=xlsx
cc-8-2,8,Segundo Informe,pasado,Junio,15 de mayo al 14 de junio de 2018 ,1,10,0,47,3,1,86,132,59,173,1,6,10,8,537,https://github.com/RedCiudadana/Recursos-Rendicion-Cuentas-CC/raw/master/Informes/PDF/Informe%20Rendicion%20Cuenta%20-%20Corte%20de%20Constitucionalidad%202.pdf,https://docs.google.com/spreadsheets/d/e/2PACX-1vSGTHYywTh1cl9Lu6XbwIz5wOtWn3wVD6N5Yl25FGg4M3gtA--2Nzxi96QBlpWa5nVr6SBB2-44ELeg/pub?output=xlsx
cc-8-3,8,Tercer Informe,pasado,Julio,15 de junio al 14 de julio de 2018 ,2,7,0,44,5,2,92,115,64,201,4,7,7,5,555,https://github.com/RedCiudadana/Recursos-Rendicion-Cuentas-CC/raw/master/Informes/PDF/Informe%20Rendicion%20Cuenta%20-%20Corte%20de%20Constitucionalidad%203.pdf,https://docs.google.com/spreadsheets/d/e/2PACX-1vSGTHYywTh1cl9Lu6XbwIz5wOtWn3wVD6N5Yl25FGg4M3gtA--2Nzxi96QBlpWa5nVr6SBB2-44ELeg/pub?output=xlsx
cc-8-4,8,Cuarto Informe,anterior,Agosto,15 de julio al 14 de agosto de 2018 ,4,9,3,43,3,2,106,104,62,208,2,10,9,10,575,https://github.com/RedCiudadana/Recursos-Rendicion-Cuentas-CC/raw/master/Informes/PDF/Informe%20Rendicion%20Cuenta%20-%20Corte%20de%20Constitucionalidad%204.pdf,https://docs.google.com/spreadsheets/d/e/2PACX-1vSGTHYywTh1cl9Lu6XbwIz5wOtWn3wVD6N5Yl25FGg4M3gtA--2Nzxi96QBlpWa5nVr6SBB2-44ELeg/pub?output=xlsx
cc-8-5,8,Quinto Informe,actual,Septiembre,15 de agosto al 14 de septiembre de 2018,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,https://github.com/RedCiudadana/Recursos-Rendicion-Cuentas-CC/raw/master/Informes/PDF/Informe%20Rendicion%20Cuenta%20-%20Corte%20de%20Constitucionalidad%205.pdf,https://docs.google.com/spreadsheets/d/e/2PACX-1vSGTHYywTh1cl9Lu6XbwIz5wOtWn3wVD6N5Yl25FGg4M3gtA--2Nzxi96QBlpWa5nVr6SBB2-44ELeg/pub?output=xlsx
cc-8-6,8,Sexto Informe,,Octubre,15 de septiembre al 14 de octubre de 2018,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,https://github.com/RedCiudadana/Recursos-Rendicion-Cuentas-CC/raw/master/Informes/PDF/Informe%20Rendicion%20Cuenta%20-%20Corte%20de%20Constitucionalidad%206.pdf,https://docs.google.com/spreadsheets/d/e/2PACX-1vSGTHYywTh1cl9Lu6XbwIz5wOtWn3wVD6N5Yl25FGg4M3gtA--2Nzxi96QBlpWa5nVr6SBB2-44ELeg/pub?output=xlsx
cc-8-7,8,Séptimo Informe,,Noviembre,15 de octubre al 14 de noviembre de 2018,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,https://drive.google.com/a/redciudadana.org.gt/uc?authuser=0&id=1DHWv6xjKGrSts6WuLq8MDVUvm3-w4F08&export=download,
cc-8-8,8,Octavo Informe,,Diciembre,15 de noviembre al 14 de diciembre de 2018,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
cc-8-9,8,Noveno Informe,,Enero,15 de diciembre al 14 de enero de 2019,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
cc-8-10,8,Decimo Informe,,Febrero,15 de febrero al 14 de marzo de 2019,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
cc-8-11,8,Onceavo Informe,,Marzo,15 de marzo al 14 de abril de 2019,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
cc-8-12,8,Decimo Segundo Informe,,Abril,15 de abril al 14 de mayo de 2019,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
acumulado-2,,acumulado,acumulado,acumulado,acumulado,9,40,3,169,12,7,285,424,274,634,147,25,29,30,2088,,
